epoch,loss,test_accuracy,pred_id,true_id
0,3.2260167598724365,0.0,19,2
0,3.2260167598724365,0.0,9,19
0,3.2260167598724365,0.0,19,18
0,3.2260167598724365,0.0,14,22
0,3.2260167598724365,0.0,19,17
0,3.2260167598724365,0.0,14,21
0,3.2260167598724365,0.0,14,1
0,3.2260167598724365,0.0,9,19
0,3.2260167598724365,0.0,19,10
0,3.2260167598724365,0.0,14,9
0,3.2260167598724365,0.0,14,22
1,3.201199531555176,0.0,19,2
1,3.201199531555176,0.0,9,19
1,3.201199531555176,0.0,19,18
1,3.201199531555176,0.0,14,22
1,3.201199531555176,0.0,19,17
1,3.201199531555176,0.0,14,21
1,3.201199531555176,0.0,14,1
1,3.201199531555176,0.0,9,19
1,3.201199531555176,0.0,19,10
1,3.201199531555176,0.0,14,9
1,3.201199531555176,0.0,14,22
2,3.177335262298584,0.0,14,2
2,3.177335262298584,0.0,9,19
2,3.177335262298584,0.0,19,18
2,3.177335262298584,0.0,14,22
2,3.177335262298584,0.0,19,17
2,3.177335262298584,0.0,14,21
2,3.177335262298584,0.0,14,1
2,3.177335262298584,0.0,9,19
2,3.177335262298584,0.0,19,10
2,3.177335262298584,0.0,14,9
2,3.177335262298584,0.0,14,22
3,3.154388666152954,0.0,14,2
3,3.154388666152954,0.0,9,19
3,3.154388666152954,0.0,19,18
3,3.154388666152954,0.0,14,22
3,3.154388666152954,0.0,14,17
3,3.154388666152954,0.0,14,21
3,3.154388666152954,0.0,14,1
3,3.154388666152954,0.0,9,19
3,3.154388666152954,0.0,23,10
3,3.154388666152954,0.0,14,9
3,3.154388666152954,0.0,14,22
4,3.1320998668670654,0.0,14,2
4,3.1320998668670654,0.0,9,19
4,3.1320998668670654,0.0,14,18
4,3.1320998668670654,0.0,14,22
4,3.1320998668670654,0.0,14,17
4,3.1320998668670654,0.0,14,21
4,3.1320998668670654,0.0,14,1
4,3.1320998668670654,0.0,9,19
4,3.1320998668670654,0.0,23,10
4,3.1320998668670654,0.0,14,9
4,3.1320998668670654,0.0,14,22
5,3.110943555831909,0.0,14,2
5,3.110943555831909,0.0,9,19
5,3.110943555831909,0.0,14,18
5,3.110943555831909,0.0,14,22
5,3.110943555831909,0.0,14,17
5,3.110943555831909,0.0,14,21
5,3.110943555831909,0.0,14,1
5,3.110943555831909,0.0,23,19
5,3.110943555831909,0.0,23,10
5,3.110943555831909,0.0,14,9
5,3.110943555831909,0.0,14,22
6,3.0908284187316895,0.0,14,2
6,3.0908284187316895,0.0,5,19
6,3.0908284187316895,0.0,14,18
6,3.0908284187316895,0.0,14,22
6,3.0908284187316895,0.0,14,17
6,3.0908284187316895,0.0,14,21
6,3.0908284187316895,0.0,14,1
6,3.0908284187316895,0.0,23,19
6,3.0908284187316895,0.0,23,10
6,3.0908284187316895,0.0,14,9
6,3.0908284187316895,0.0,14,22
7,3.0712831020355225,0.0,14,2
7,3.0712831020355225,0.0,5,19
7,3.0712831020355225,0.0,14,18
7,3.0712831020355225,0.0,14,22
7,3.0712831020355225,0.0,14,17
7,3.0712831020355225,0.0,14,21
7,3.0712831020355225,0.0,14,1
7,3.0712831020355225,0.0,23,19
7,3.0712831020355225,0.0,23,10
7,3.0712831020355225,0.0,14,9
7,3.0712831020355225,0.0,14,22
8,3.0525903701782227,0.0,14,2
8,3.0525903701782227,0.0,5,19
8,3.0525903701782227,0.0,14,18
8,3.0525903701782227,0.0,14,22
8,3.0525903701782227,0.0,14,17
8,3.0525903701782227,0.0,14,21
8,3.0525903701782227,0.0,14,1
8,3.0525903701782227,0.0,23,19
8,3.0525903701782227,0.0,23,10
8,3.0525903701782227,0.0,14,9
8,3.0525903701782227,0.0,14,22
9,3.0340278148651123,0.0,14,2
9,3.0340278148651123,0.0,5,19
9,3.0340278148651123,0.0,14,18
9,3.0340278148651123,0.0,14,22
9,3.0340278148651123,0.0,14,17
9,3.0340278148651123,0.0,14,21
9,3.0340278148651123,0.0,14,1
9,3.0340278148651123,0.0,23,19
9,3.0340278148651123,0.0,23,10
9,3.0340278148651123,0.0,14,9
9,3.0340278148651123,0.0,14,22
10,3.0152347087860107,0.0,14,2
10,3.0152347087860107,0.0,5,19
10,3.0152347087860107,0.0,14,18
10,3.0152347087860107,0.0,14,22
10,3.0152347087860107,0.0,14,17
10,3.0152347087860107,0.0,14,21
10,3.0152347087860107,0.0,14,1
10,3.0152347087860107,0.0,23,19
10,3.0152347087860107,0.0,23,10
10,3.0152347087860107,0.0,14,9
10,3.0152347087860107,0.0,14,22
11,2.996605396270752,0.0,14,2
11,2.996605396270752,0.0,5,19
11,2.996605396270752,0.0,14,18
